,SMILES
314,c1cc2c(C=C/C/2=C\2/C=Cc3c2cccc3)c(c1)
315,N1C(O)=c2c3c(=C1O)cc(CC)c1=C(O)N(C(=c(c31)cc2CC)O)C=C
316,c1c(CC)c(ccc1)
317,c1cc(SC)sc1
318,c1sc(c2c1cc(C=C)cc2)C=C
319,c1sc(c2c1OCO2)
320,c1sc(c2c1nc(CN)c(CN)n2)C=C
321,c1c2n(CC)c3c(c2ccc1)cccc3C=C
322,c1c2c(cccc2)c(s1)C=C
323,c1sc(c2c1c(C#N)ccc2C#N)C=C
324,C1=C(Oc2c(csc2)O1)C=C
325,c1oc(cc1C(=O)C(F)(F)F)
326,C1=CC(=C2[C@H]1CCS2)
327,C1SCN2[C@H]1NCC2C=C
328,c1sc(c2c1ocn2)
329,c1oc(nc1)C=C
330,c1scc2c1nc(c(NC)n2)N(C)
331,c1sc(c2c1OCC[C@@H](SC)O2)C=C
332,c(c1)cc(CC)cc1C=C
333,c1sc(c2c1[C@H](C(=O)C(F)(F)F)CCC2)
334,c1sc(c(c1C#N)C(F)(F)F)
335,c1cc2c(cs1)c1c(ccs1)c2
336,c1c(C(=O)c2cscc2C(=O)c2ccccc2)ccc(c1)
337,c1sc(c2c1oc(N(=O)=O)c2)
338,c1sc2c(ccc3c2ccc2c3ccc3c2scc3)c1
339,C=C(C)CNC=C
340,c1cc(c2c(c1)c1c(s2)cccc1)C=C
341,C1=C(N)C(=CC1)C1=C(N)C(=CC1)
342,c1scc(N(=O)=O)c1NC=C
343,c1c(cc2c(c1)nccn2)C=C
344,c1c(C)cc(c(c1)C)
345,c1scc2c1c1c(s2)sc(c1)C=C
346,c1cccc2c1N(C)C(=O)C2C1C(=O)N(C)c2cc(ccc12)C=C
347,c1cc2c(s1)c1c(ccs1)c1c2c(c(CC)c(CC)c1)
348,c1cc2c(cc1)c1c(C2(C)C)cc(cc1)C=C
349,c1cc(CC)c(c(c1)CC)/C=C(/C)
350,c1sc(c2c1C(=O)NC2=O)C=C
351,C1=CC(OC)=C(/C/1=C\1/C=C(OC)C=C1)C=C
352,C1=C(N(=O)=O)C=C/C/1=C\1/C=CC(N(=O)=O)=C1
353,c1c2c(C=C)c3c(cc2ccc1)c(ccc3)C=C
354,c1oc(c(c1N(=O)=O)N(=O)=O)
355,c1sc(c2c1C[C@H](C(=O)OC)CC2)
356,c1sc(c(c1OC)OC)C=C
357,c1sc2c(c1)c1c(scc1)c(c2)
358,c1sc(c2c1sc(=S)o2)
359,c1sc(cc1)C=C
360,c1sc(c2c1ncs2)C=C
361,c1sc(c2c1cc(N(=O)=O)cc2)C=C
362,c1sc(c2c1SCS2)
363,c1sc2c(c1)c1c(scc1)c(c2)C=C
364,c1sc(c2c1OCCS2)C=C
365,c(s1)cc(c(=O)2)c1c(s3)c2cc3
366,c1sc(c2c1[C@H](S)CCC2)C=C
367,C1=[S]c2cscc2[S]=C1
368,NCc1cc(OCC)c(cc1OCC)CNC=C
369,c1c2c(ccs2)c(CC)c2c1c(CC)c1c(scc1)c2
370,c1sc(c(c1C(=O)O)OC)C=C
371,c1c(F)sc(F)c1C=C
372,c1c(F)cccc1C=C
373,c1sc(c(c1O)C#N)C=C
374,C1=CC2=C(OC=CO2)/C/1=C/1\C2=C(OC=CO2)C=C1C=C
375,c(s1)c2ccs(=N)(=O)c2c1
376,c1c2c3c(s1)ccc1c3c(cc2)sc1C=C
377,c1c(C(F)(F)F)sc(C#N)c1C=C
378,N1c2cscc2N(c2-c3c4c(-c12)ccc(c4c(CC)cc3)CC)
379,c1scc2c1sc1c2csc1
